F7 Value,T7 Value,P7 Value,O1 Value,O2 Value,P8 Value,T8 Value,F8 Value,class
3908.969697,3899.181818,4307.696969,4511.696969,4240.727272,4361.272727,5017.575757,4189.727272,-1
3907.424242,3897.636363,4307.181818,4506.545454,4228.878787,4352.515151,5007.787878,4192.818181,-1
3907.424242,3897.636363,4300.484848,4498.30303,4217.030303,4347.363636,5000.060606,4191.787878,-1
3910,3894.545454,4294.30303,4490.575757,4210.333333,4344.272727,4999.030303,4181.484848,-1
3914.121212,3894.030303,4290.696969,4490.060606,4210.848484,4339.121212,4988.212121,4179.424242,-1
3916.696969,3900.212121,4293.272727,4495.727272,4215.484848,4338.090909,4970.696969,4180.969697,-1
3912.575757,3905.878787,4297.90909,4499.848484,4225.272727,4347.363636,4971.727272,4172.727272,-1
3910,3909.484848,4299.969697,4499.333333,4239.696969,4360.242424,5000.060606,4172.212121,-1
3918.242424,3906.909091,4305.121212,4498.818181,4245.878787,4363.333333,5026.333333,4191.787878,-1
3928.545454,3907.424242,4309.757575,4495.212121,4234.545454,4356.636363,5030.454545,4207.242424,-1
3923.393939,3908.454545,4306.151515,4484.90909,4223.727272,4350.454545,5020.151515,4205.181818,-1
3914.121212,3904.848484,4302.030303,4484.393939,4222.696969,4350.969697,5004.696969,4199,-1
3917.727272,3905.363636,4304.090909,4491.090909,4227.848484,4355.090909,5003.151515,4205.181818,-1
3925.969697,3905.363636,4305.121212,4482.333333,4235.575757,4363.848484,5012.939393,4217.030303,-1
3933.181818,3902.787878,4304.090909,4475.121212,4241.757575,4371.575757,5017.575757,4219.60606,-1
3938.848484,3906.393939,4305.121212,4486.454545,4248.454545,4373.636363,5025.30303,4226.30303,-1
3929.060606,3912.575757,4306.151515,4492.636363,4248.454545,4369,5034.060606,4222.181818,-1
3909.484848,3911.030303,4305.121212,4483.363636,4238.151515,4353.545454,5024.787878,4197.969697,-1
3907.424242,3904.848484,4299.969697,4477.181818,4227.848484,4341.181818,5003.151515,4183.030303,-1
3913.090909,3897.636363,4295.848484,4483.878787,4226.818181,4344.787878,4993.878787,4186.636363,-1
3913.60606,3896.090909,4303.575757,4493.151515,4231.454545,4353.545454,5001.60606,4195.393939,-1
3915.151515,3901.757575,4314.393939,4494.696969,4236.60606,4360.757575,5015,4203.121212,-1
3913.60606,3901.242424,4314.90909,4492.636363,4246.393939,4369,5026.848484,4213.424242,-1
3901.242424,3896.60606,4310.272727,4493.151515,4252.060606,4367.969697,5029.939393,4220.121212,-1
3894.545454,3895.575757,4310.787878,4496.242424,4248.454545,4357.666666,5019.636363,4221.666666,-1
3906.909091,3896.090909,4312.848484,4495.212121,4245.363636,4361.272727,5007.787878,4222.696969,-1
3913.60606,3893.515151,4307.181818,4487.484848,4238.151515,4361.787878,5004.696969,4214.454545,-1
3902.272727,3888.878787,4295.848484,4479.242424,4218.060606,4345.818181,5003.666666,4199.515151,-1
3895.575757,3889.393939,4291.212121,4479.757575,4211.878787,4342.727272,5002.121212,4180.454545,-1
