Time,3 Theta,3 Alpha,3 Low_beta,3 High_beta,3 Gamma,4 Theta,4 Alpha,4 Low_beta,4 High_beta,4 Gamma,5 Theta,5 Alpha,5 Low_beta,5 High_beta,5 Gamma,6 Theta,6 Alpha,6 Low_beta,6 High_beta,6 Gamma,7 Theta,7 Alpha,7 Low_beta,7 High_beta,7 Gamma,8 Theta,8 Alpha,8 Low_beta,8 High_beta,8 Gamma,9 Theta,9 Alpha,9 Low_beta,9 High_beta,9 Gamma,10 Theta,10 Alpha,10 Low_beta,10 High_beta,10 Gamma,11 Theta,11 Alpha,11 Low_beta,11 High_beta,11 Gamma,12 Theta,12 Alpha,12 Low_beta,12 High_beta,12 Gamma,13 Theta,13 Alpha,13 Low_beta,13 High_beta,13 Gamma,14 Theta,14 Alpha,14 Low_beta,14 High_beta,14 Gamma,15 Theta,15 Alpha,15 Low_beta,15 High_beta,15 Gamma,16 Theta,16 Alpha,16 Low_beta,16 High_beta,16 Gamma,Label
33.64847898,6.159767672,21.92474827,2.567095499,1.540390261,0.554605435,5.766756308,13.52981217,1.805105328,1.090847775,0.315358752,0.015947491,0.017402278,0.033594057,0.01730338,0.015418265,0.029035346,0.026689247,0.016368371,0.021244051,0.023574361,0.644023735,1.430828436,1.978430648,1.944142035,1.098584499,0.287002431,2.624294418,0.884685351,0.284554323,0.34946652,0.373163437,4.012810936,2.045348145,0.805667386,0.414368739,4.938521963,23.11736543,5.123429987,0.557894504,0.423054719,2.497542878,12.78486811,1.555374373,0.483183222,0.19307471,4.815348807,21.83888188,1.769892327,3.604886413,1.300381537,0.035074448,0.142218078,0.021716757,0.02135295,0.025109197,0.037181225,0.031490994,0.019675569,0.012196679,0.029092792,5.702943516,25.97631894,1.891837223,0.926336654,0.306709813,0.058253458,0.020242234,0.025137474,0.027356596,0.031179036,green
34.15369201,5.544297515,19.29997158,2.00241234,1.074741686,0.382173327,4.9384684,16.95800691,1.76685772,0.583314678,0.260336529,0.014046108,0.025587839,0.031853168,0.025426344,0.015719984,0.03713897,0.032418663,0.010666574,0.025757457,0.028873209,1.282223661,0.809619019,2.234373132,1.63005825,0.844317337,0.565959632,2.363496504,0.595336664,0.316321178,0.386693848,0.798454533,3.576164288,2.071771582,0.467223371,0.507522287,4.08387437,27.12651528,15.22796976,0.77784855,0.410123627,1.34306735,13.30651152,5.16716362,0.849349067,0.289819004,2.82186567,21.93874469,6.595848037,3.590320456,1.27023844,0.050658271,0.124784409,0.033700038,0.02547555,0.018067926,0.041362329,0.015870103,0.010639354,0.014651643,0.022910761,4.275655116,21.37710585,4.108464005,0.948360746,0.352921188,0.06538282,0.014943255,0.0113103,0.014605387,0.025105062,green
34.55989504,1.560716159,8.10918749,1.491167438,1.289909154,0.438524709,0.95219021,10.29181826,1.484724277,1.027047575,0.376087534,0.015387799,0.01778501,0.021697453,0.014211829,0.014271541,0.035751111,0.015461319,0.025466205,0.01501819,0.0355635,1.54867841,1.993514692,2.156493763,1.597685802,1.00515195,0.404756079,1.09462225,0.308663705,0.292750378,0.480978293,1.02061199,2.553946196,1.662050061,0.539044666,0.609418443,1.863886217,45.89816254,24.9779304,1.089720412,0.365620053,0.657656051,16.99956406,9.580121869,1.408281748,0.438254536,1.237688726,21.55614099,11.49721331,3.6598723,1.419352787,0.02766794,0.095875563,0.045306453,0.024998781,0.016763768,0.047438165,0.012729706,0.016911511,0.016607569,0.018473344,1.388517374,15.00580151,5.221325418,0.977156992,0.409883843,0.074433925,0.021131713,0.008742645,0.013172757,0.018282408,green
35.16373801,1.290754649,13.78904313,1.021800605,1.435723704,0.256225942,0.660238277,8.16293767,0.7780614,1.108650814,0.278889792,0.016080045,0.012533282,0.010695729,0.009635299,0.014994358,0.029587803,0.02674461,0.042329155,0.013240797,0.028370083,1.075457151,3.300148163,2.337242338,1.803168841,1.330854486,0.313988883,1.419907804,0.803344608,0.215034641,0.346191148,0.452038107,2.193170302,1.522710711,0.836043552,0.559027607,1.436906098,29.84131054,14.01286473,0.897329095,0.385272897,0.922037068,14.9337477,5.723316612,0.872043253,0.357598822,2.275451176,18.66093372,2.995563412,3.629235312,1.130602471,0.012600902,0.105346111,0.03473575,0.018622785,0.021466682,0.033425703,0.019373633,0.029062431,0.017106494,0.017338307,1.47434246,18.11464677,1.944731883,0.989384535,0.245767102,0.090928487,0.033466804,0.016843413,0.013982857,0.023160629,green
35.56875491,1.921635063,13.2570514,1.117719089,0.945576339,0.217793008,1.634850637,5.336734886,0.689213246,0.545254681,0.23845421,0.035254471,0.008931258,0.012025949,0.014203217,0.021611925,0.01911052,0.027086048,0.023204377,0.021352742,0.016710637,0.530836426,1.080267765,1.848329451,2.129611942,1.031685524,0.828829688,2.412048145,0.615248251,0.309572872,0.313528998,0.89580388,2.793865043,0.46102022,0.738676481,0.45800448,1.432700966,15.9990189,2.912041199,0.810437935,0.327556396,1.116220026,6.671296297,1.482074169,0.534892631,0.280937685,2.262535318,15.74977753,3.657594799,2.703100035,1.071263093,0.021872943,0.114809518,0.020313792,0.019818384,0.024827147,0.048861337,0.029527868,0.026460514,0.016963947,0.019487182,2.243927101,17.37870854,0.909699837,0.635154637,0.323161941,0.085884515,0.034156335,0.021447832,0.013747561,0.025023055,green
36.07488894,2.625524902,21.6265982,1.415094937,1.116294172,0.358664173,1.876295022,15.05854095,0.692404467,0.622920428,0.304096407,0.048170258,0.006830945,0.009484043,0.014369211,0.023065101,0.015994593,0.026383665,0.016777608,0.027593588,0.016665067,0.638230676,2.080514508,0.909255922,1.648077087,0.860133882,0.675690981,3.958682981,0.771385457,0.455417199,0.343871381,0.812388178,3.436277199,0.545997093,0.830492909,0.416133912,2.926294216,25.69626683,1.420475801,0.972337481,0.318284568,1.990948682,11.49505736,1.065682411,0.49104015,0.280479506,3.797300545,29.70695397,5.131319304,2.16510846,1.35165141,0.042681277,0.306230076,0.037074065,0.03051144,0.024276988,0.041582009,0.034399293,0.017342259,0.01648632,0.020664921,3.113846452,36.95437001,1.455020046,1.039408339,0.576719875,0.04910067,0.060030976,0.028083288,0.020160534,0.039820279,green
36.57785702,2.957406613,49.84845714,1.455917873,1.471109902,0.394123971,1.685117036,33.83560902,1.270925446,0.920736141,0.333269007,0.035602036,0.007001542,0.007595128,0.017377871,0.022137251,0.021886168,0.018780936,0.016724069,0.029138036,0.017881495,1.36654774,7.392492202,1.372330114,1.72733656,1.05594743,0.933471887,3.858179363,1.054793152,0.483502194,0.382856742,0.578007404,6.954504282,1.116746735,0.889145859,0.548497758,1.945505441,41.94457112,2.225681817,0.946023757,0.376897973,1.030814437,22.89090363,1.336986021,0.656137941,0.240490707,2.157080617,57.42170909,3.384555367,3.361440439,1.47687068,0.053215193,0.448663564,0.026164915,0.029087263,0.024424324,0.036336554,0.025461239,0.017592121,0.019545407,0.017063742,2.385365855,79.16887178,2.459787532,1.306413044,0.623735631,0.047895569,0.02867312,0.025027346,0.021796587,0.05030006,green
36.98164105,2.957406613,49.84845714,1.455917873,1.471109902,0.394123971,1.685117036,33.83560902,1.270925446,0.920736141,0.333269007,0.035602036,0.007001542,0.007595128,0.017377871,0.022137251,0.021886168,0.018780936,0.016724069,0.029138036,0.017881495,1.36654774,7.392492202,1.372330114,1.72733656,1.05594743,0.933471887,3.858179363,1.054793152,0.483502194,0.382856742,0.578007404,6.954504282,1.116746735,0.889145859,0.548497758,1.945505441,41.94457112,2.225681817,0.946023757,0.376897973,1.030814437,22.89090363,1.336986021,0.656137941,0.240490707,2.157080617,57.42170909,3.384555367,3.361440439,1.47687068,0.053215193,0.448663564,0.026164915,0.029087263,0.024424324,0.036336554,0.025461239,0.017592121,0.019545407,0.017063742,2.385365855,79.16887178,2.459787532,1.306413044,0.623735631,0.047895569,0.02867312,0.025027346,0.021796587,0.05030006,green
37.18399286,5.675020676,30.06200673,1.834981566,1.695581838,0.390415196,3.258598998,18.6264665,1.432571026,1.20055156,0.244783216,0.035037119,0.007202488,0.007434518,0.017433584,0.019885472,0.020977265,0.017040351,0.017635529,0.02746596,0.020442859,1.374856369,5.432721177,0.806882772,2.405827126,0.725385535,1.07220418,3.125130508,0.616896061,0.328373175,0.413557081,0.398044334,5.261733939,0.581891887,0.744150014,0.541870565,1.095868409,24.99084204,1.855895715,0.516697902,0.170522029,0.901464413,12.94317778,1.031213716,0.865530571,0.235391468,1.557420098,34.82236174,5.069615744,4.161745036,1.180362741,0.0535482,0.381371643,0.033434915,0.01886604,0.02813347,0.035903418,0.02107036,0.022603513,0.014045063,0.020746754,5.81081601,54.35949691,1.712316476,1.042600061,0.495799161,0.025616206,0.027140883,0.01128451,0.016107518,0.029484127,green
37.2847259,5.675020676,30.06200673,1.834981566,1.695581838,0.390415196,3.258598998,18.6264665,1.432571026,1.20055156,0.244783216,0.035037119,0.007202488,0.007434518,0.017433584,0.019885472,0.020977265,0.017040351,0.017635529,0.02746596,0.020442859,1.374856369,5.432721177,0.806882772,2.405827126,0.725385535,1.07220418,3.125130508,0.616896061,0.328373175,0.413557081,0.398044334,5.261733939,0.581891887,0.744150014,0.541870565,1.095868409,24.99084204,1.855895715,0.516697902,0.170522029,0.901464413,12.94317778,1.031213716,0.865530571,0.235391468,1.557420098,34.82236174,5.069615744,4.161745036,1.180362741,0.0535482,0.381371643,0.033434915,0.01886604,0.02813347,0.035903418,0.02107036,0.022603513,0.014045063,0.020746754,5.81081601,54.35949691,1.712316476,1.042600061,0.495799161,0.025616206,0.027140883,0.01128451,0.016107518,0.029484127,green
